funcid,dim,milestone,error
2,10,1,4.099285e+12
2,10,2,1.334731e+12
2,10,3,1.412381e+10
2,10,5,1.095833e+07
2,10,10,4.701550e+05
2,10,20,2.625000e+03
2,10,30,1.070000e+02
2,10,40,9.000000e+01
2,10,50,9.000000e+01
2,10,60,4.800000e+01
2,10,70,4.300000e+01
2,10,80,4.100000e+01
2,10,90,4.100000e+01
2,10,100,3.700000e+01
2,10,1,4.099285e+12
2,10,2,1.334731e+12
2,10,3,1.412381e+10
2,10,5,1.095833e+07
2,10,10,4.701550e+05
2,10,20,2.625000e+03
2,10,30,1.070000e+02
2,10,40,9.000000e+01
2,10,50,9.000000e+01
2,10,60,4.800000e+01
2,10,70,4.300000e+01
2,10,80,4.100000e+01
2,10,90,4.100000e+01
2,10,100,3.700000e+01
