funcid,dim,milestone,error
1,10,1,1.223714e+10
1,10,2,4.690317e+09
1,10,3,1.578974e+09
1,10,5,3.937062e+07
1,10,10,3.419622e+06
1,10,20,5.347464e+05
1,10,30,1.713848e+05
1,10,40,1.266750e+05
1,10,50,4.433472e+04
1,10,60,3.916909e+04
1,10,70,2.659318e+04
1,10,80,5.969069e+03
1,10,90,5.757448e+03
1,10,100,4.093178e+03
1,10,1,1.223714e+10
1,10,2,4.690317e+09
1,10,3,1.578974e+09
1,10,5,3.937062e+07
1,10,10,3.419622e+06
1,10,20,5.347464e+05
1,10,30,1.713848e+05
1,10,40,1.266750e+05
1,10,50,4.433472e+04
1,10,60,3.916909e+04
1,10,70,2.659318e+04
1,10,80,5.969069e+03
1,10,90,5.757448e+03
1,10,100,4.093178e+03
