funcid,dim,milestone,error
7,10,1,5.683748e+02
7,10,2,5.314793e+02
7,10,3,5.135965e+02
7,10,5,3.607185e+02
7,10,10,2.168763e+02
7,10,20,1.367881e+02
7,10,30,6.779481e+01
7,10,40,5.632629e+01
7,10,50,5.326514e+01
7,10,60,4.095773e+01
7,10,70,4.095773e+01
7,10,80,3.399636e+01
7,10,90,3.224041e+01
7,10,100,3.161081e+01
7,10,1,5.683748e+02
7,10,2,5.314793e+02
7,10,3,5.135965e+02
7,10,5,3.607185e+02
7,10,10,2.168763e+02
7,10,20,1.367881e+02
7,10,30,6.779481e+01
7,10,40,5.632629e+01
7,10,50,5.326514e+01
7,10,60,4.095773e+01
7,10,70,4.095773e+01
7,10,80,3.399636e+01
7,10,90,3.224041e+01
7,10,100,3.161081e+01
