funcid,dim,milestone,error
9,10,1,3.312549e+03
9,10,2,3.277449e+03
9,10,3,3.140009e+03
9,10,5,1.825170e+03
9,10,10,1.414518e+03
9,10,20,1.340209e+03
9,10,30,1.334841e+03
9,10,40,1.327565e+03
9,10,50,8.269971e+02
9,10,60,7.617799e+02
9,10,70,6.100899e+02
9,10,80,3.801975e+02
9,10,90,1.943821e+02
9,10,100,1.336678e+02
9,10,1,3.312549e+03
9,10,2,3.277449e+03
9,10,3,3.140009e+03
9,10,5,1.825170e+03
9,10,10,1.414518e+03
9,10,20,1.340209e+03
9,10,30,1.334841e+03
9,10,40,1.327565e+03
9,10,50,8.269971e+02
9,10,60,7.617799e+02
