funcid,dim,milestone,error
6,10,1,7.293393e+01
6,10,2,7.041239e+01
6,10,3,6.990706e+01
6,10,5,6.678963e+01
6,10,10,5.823657e+01
6,10,20,5.628510e+01
6,10,30,5.366083e+01
6,10,40,5.358029e+01
6,10,50,5.076841e+01
6,10,60,3.848484e+01
6,10,70,3.746928e+01
6,10,80,3.744556e+01
6,10,90,3.473148e+01
6,10,100,3.432322e+01
6,10,1,7.293393e+01
6,10,2,7.041239e+01
6,10,3,6.990706e+01
6,10,5,6.678963e+01
6,10,10,5.823657e+01
6,10,20,5.628510e+01
6,10,30,5.366083e+01
6,10,40,5.358029e+01
6,10,50,5.076841e+01
6,10,60,3.848484e+01
6,10,70,3.746928e+01
6,10,80,3.744556e+01
6,10,90,3.473148e+01
6,10,100,3.432322e+01
