funcid,dim,milestone,error
5,10,1,8.504555e+01
5,10,2,7.809162e+01
5,10,3,7.181714e+01
5,10,5,5.914729e+01
5,10,10,5.331691e+01
5,10,20,5.227425e+01
5,10,30,3.149522e+01
5,10,40,3.067289e+01
5,10,50,3.019986e+01
5,10,60,2.998786e+01
5,10,70,2.994916e+01
5,10,80,2.990409e+01
5,10,90,2.989391e+01
5,10,100,2.989053e+01
5,10,1,8.504555e+01
5,10,2,7.809162e+01
5,10,3,7.181714e+01
5,10,5,5.914729e+01
5,10,10,5.331691e+01
5,10,20,5.227425e+01
5,10,30,3.149522e+01
5,10,40,3.067289e+01
5,10,50,3.019986e+01
5,10,60,2.998786e+01
5,10,70,2.994916e+01
5,10,80,2.990409e+01
5,10,90,2.989391e+01
5,10,100,2.989053e+01
