funcid,dim,milestone,error
3,10,1,5.608496e+04
3,10,2,5.039943e+04
3,10,3,4.662298e+04
3,10,5,9.667167e+03
3,10,10,4.665851e+03
3,10,20,8.822704e+02
3,10,30,3.635811e+02
3,10,40,1.475984e+02
3,10,50,2.587197e+01
3,10,60,1.267384e+01
3,10,70,5.412046e+00
3,10,80,3.848140e+00
3,10,90,2.560433e+00
3,10,100,1.451267e+00
3,10,1,5.608496e+04
3,10,2,5.039943e+04
3,10,3,4.662298e+04
3,10,5,9.667167e+03
3,10,10,4.665851e+03
3,10,20,8.822704e+02
3,10,30,3.635811e+02
3,10,40,1.475984e+02
3,10,50,2.587197e+01
3,10,60,1.267384e+01
3,10,70,5.412046e+00
3,10,80,3.848140e+00
3,10,90,2.560433e+00
3,10,100,1.451267e+00
