funcid,dim,milestone,error
8,10,1,1.142010e+02
8,10,2,9.231731e+01
8,10,3,8.774982e+01
8,10,5,8.646333e+01
8,10,10,5.283166e+01
8,10,20,4.399560e+01
8,10,30,3.593416e+01
8,10,40,2.958228e+01
8,10,50,2.906942e+01
8,10,60,2.906014e+01
8,10,70,2.893279e+01
8,10,80,2.892424e+01
8,10,90,2.891063e+01
8,10,100,2.890270e+01
8,10,1,1.142010e+02
8,10,2,9.231731e+01
8,10,3,8.774982e+01
8,10,5,8.646333e+01
8,10,10,5.283166e+01
8,10,20,4.399560e+01
8,10,30,3.593416e+01
8,10,40,2.958228e+01
8,10,50,2.906942e+01
8,10,60,2.906014e+01
8,10,70,2.893279e+01
8,10,80,2.892424e+01
8,10,90,2.891063e+01
8,10,100,2.890270e+01
