funcid,dim,milestone,error
29,50,1,1.074074e+04
29,50,2,9.236812e+03
29,50,3,8.021557e+03
29,50,5,7.089755e+03
29,50,10,6.287290e+03
29,50,20,5.866517e+03
29,50,30,5.574532e+03
29,50,40,5.500021e+03
29,50,50,5.196414e+03
29,50,60,5.064499e+03
29,50,70,4.991775e+03
29,50,80,4.947617e+03
29,50,90,4.903457e+03
29,50,100,4.900525e+03
