funcid,dim,milestone,error
21,50,1,1.101901e+03
21,50,2,1.035588e+03
21,50,3,1.017755e+03
21,50,5,9.936667e+02
21,50,10,9.641754e+02
21,50,20,9.586288e+02
21,50,30,9.563694e+02
21,50,40,9.556287e+02
21,50,50,9.550595e+02
21,50,60,9.546824e+02
21,50,70,9.544773e+02
21,50,80,9.543397e+02
21,50,90,9.542125e+02
21,50,100,9.541474e+02
