funcid,dim,milestone,error
26,50,1,1.699201e+04
26,50,2,1.428846e+04
26,50,3,1.338929e+04
26,50,5,1.237706e+04
26,50,10,1.198848e+04
26,50,20,1.186852e+04
26,50,30,1.182922e+04
26,50,40,1.181116e+04
26,50,50,1.180204e+04
26,50,60,1.179380e+04
26,50,70,1.178598e+04
26,50,80,1.177903e+04
26,50,90,1.177596e+04
26,50,100,1.177321e+04
