funcid,dim,milestone,error
23,30,1,1.204928e+03
23,30,2,1.151451e+03
23,30,3,1.107747e+03
23,30,5,1.080147e+03
23,30,10,1.061449e+03
23,30,20,1.052974e+03
23,30,30,1.038563e+03
23,30,40,1.038100e+03
23,30,50,1.036943e+03
23,30,60,1.036780e+03
23,30,70,1.036502e+03
23,30,80,1.036359e+03
23,30,90,1.035938e+03
23,30,100,1.035801e+03
