funcid,dim,milestone,error
8,30,1,4.006470e+02
8,30,2,3.751067e+02
8,30,3,3.525445e+02
8,30,5,3.259110e+02
8,30,10,3.103500e+02
8,30,20,2.010531e+02
8,30,30,1.863351e+02
8,30,40,1.839822e+02
8,30,50,1.433559e+02
8,30,60,1.375241e+02
8,30,70,1.367615e+02
8,30,80,1.366104e+02
8,30,90,1.365068e+02
8,30,100,1.364616e+02
